date,province_raw,n,province,date_full
23,Zhejiang,0,4,2019-11-24
24,Zhejiang,0,4,2019-11-25
25,Zhejiang,0,4,2019-11-26
26,Zhejiang,0,4,2019-11-27
27,Zhejiang,0,4,2019-11-28
28,Zhejiang,0,4,2019-11-29
29,Zhejiang,0,4,2019-11-30
30,Zhejiang,0,4,2019-12-01
31,Zhejiang,0,4,2019-12-02
32,Zhejiang,0,4,2019-12-03
33,Zhejiang,0,4,2019-12-04
34,Zhejiang,0,4,2019-12-05
35,Zhejiang,0,4,2019-12-06
36,Zhejiang,0,4,2019-12-07
37,Zhejiang,0,4,2019-12-08
38,Zhejiang,0,4,2019-12-09
39,Zhejiang,0,4,2019-12-10
40,Zhejiang,0,4,2019-12-11
41,Zhejiang,0,4,2019-12-12
42,Zhejiang,0,4,2019-12-13
43,Zhejiang,0,4,2019-12-14
44,Zhejiang,0,4,2019-12-15
45,Zhejiang,0,4,2019-12-16
46,Zhejiang,0,4,2019-12-17
47,Zhejiang,0,4,2019-12-18
48,Zhejiang,0,4,2019-12-19
49,Zhejiang,0,4,2019-12-20
50,Zhejiang,0,4,2019-12-21
51,Zhejiang,0,4,2019-12-22
52,Zhejiang,0,4,2019-12-23
53,Zhejiang,0,4,2019-12-24
54,Zhejiang,0,4,2019-12-25
55,Zhejiang,0,4,2019-12-26
56,Zhejiang,0,4,2019-12-27
57,Zhejiang,0,4,2019-12-28
58,Zhejiang,0,4,2019-12-29
59,Zhejiang,0,4,2019-12-30
60,Zhejiang,0,4,2019-12-31
61,Zhejiang,0,4,2020-01-01
62,Zhejiang,0,4,2020-01-02
63,Zhejiang,0,4,2020-01-03
64,Zhejiang,0,4,2020-01-04
65,Zhejiang,0,4,2020-01-05
66,Zhejiang,0,4,2020-01-06
67,Zhejiang,0,4,2020-01-07
68,Zhejiang,0,4,2020-01-08
69,Zhejiang,0,4,2020-01-09
70,Zhejiang,0,4,2020-01-10
71,Zhejiang,0,4,2020-01-11
72,Zhejiang,0,4,2020-01-12
73,Zhejiang,0,4,2020-01-13
74,Zhejiang,0,4,2020-01-14
75,Zhejiang,0,4,2020-01-15
76,Zhejiang,0,4,2020-01-16
77,Zhejiang,0,4,2020-01-17
78,Zhejiang,0,4,2020-01-18
