X,alpha,sigma
894,3.088647833,7.049767843
895,2.817815057,6.387867043
896,2.735326831,7.995672973
897,3.4573844,6.705774377
898,3.6719102,6.771497121
899,3.260023095,6.889315002
900,3.915576788,7.282636636
901,2.693233909,6.943850983
902,2.306392891,6.879944134
903,2.589001102,7.041285806
904,2.472156497,8.304401946
905,2.998467608,7.426624375
906,2.774649183,7.466520987
907,2.134594716,7.385255922
908,3.324057732,7.781413922
909,2.947044192,6.670470069
910,2.782780873,7.805439788
911,3.406273815,6.979758225
912,3.993482093,6.788990889
913,2.736342952,8.284895509
914,2.618982736,8.708391308
915,3.360883101,6.981980136
916,3.260209624,7.716404855
917,2.714004222,6.634778841
918,3.630269479,8.024511495
919,2.595726185,7.664459359
920,2.321122131,6.416784815
921,4.268003503,7.15580307
922,3.403231503,6.757157363
923,2.67208303,7.904404966
924,3.569949551,6.952221771
925,2.664364431,7.150438071
926,3.529182349,6.769151565
927,2.766584887,6.500148094
928,3.041636794,7.574796699
929,3.205283344,7.13559701
930,3.942219606,7.166424108
931,2.57043125,6.85396977
932,3.301903639,6.580126625
933,2.752230924,7.560856834
934,2.222229573,7.038189336
935,2.125210319,6.705795639
936,3.47567064,7.654897806
937,3.173270177,7.407444045
938,2.795795739,6.63822234
939,3.025642769,7.82841716
940,3.05155484,6.800834469
941,2.11803336,8.744813871
942,3.226145196,6.809374063
943,4.106414223,6.676957961
944,2.239841306,7.447786211
945,2.71307256,6.582147818
946,2.968921629,6.891634482
947,3.495022171,6.243254054
948,2.57178025,6.803663539
949,2.541198351,6.7493576
950,2.349341164,6.317367288
951,3.152755633,6.702838994
952,3.180291452,6.388752908
953,4.169437556,6.40631104
954,4.94678029,7.302652444
955,2.808737749,8.498926245
956,2.348091051,7.430123313
957,3.864579787,7.507669269
958,2.708503105,6.967595333
959,2.503977176,7.54143307
960,2.410447137,7.063221904
961,2.114282192,8.360365847
962,2.559345572,8.608058219
963,2.666687615,6.939869708
964,2.348764513,8.451312011
965,2.317792121,6.451277385
966,3.304490361,7.519264679
967,3.313375089,7.020214484
968,3.084485728,7.240763936
969,2.522461627,7.733203806
970,3.348971194,7.105680264
971,2.699025442,6.43699605
972,2.299394651,7.742210388
973,2.610396572,6.73715572
974,3.085961314,6.724333742
975,3.017910443,7.122652132
976,4.101031139,6.912007156
977,2.975211759,7.049428004
978,3.814383518,7.449210195
979,3.562645201,7.299180952
980,3.182904216,7.190085555
981,3.043388332,7.70593983
982,3.418856828,7.312680823
983,2.982282646,7.124080373
984,2.968072304,6.665086863
985,2.357702056,6.711415713
986,2.462893231,7.140803481
987,3.102055781,7.018067133
988,3.496143865,6.235184433
989,3.260058555,7.037926938
990,2.205662263,6.723862246
991,3.652439896,6.448480204
992,3.108931117,6.309978998
993,3.695683783,6.906911439
994,2.897249214,8.632888374
995,2.064275566,8.012760703
996,2.509108601,7.385362738
